ad_account_id_3,ad_amount_3,ad_create_role_num_3,ad_new_role_money_3,ad_pay_role_user_num_3,ad_source_num_3,ad_valid_source_num_3,model_run_datetime_3,data_win_3
4688,7366.21,201,48,4,1,0,2020/1/1,3
4691,17987.05,107,27164,14,9,2,2020/1/1,3
4693,1492.05,1,0,0,5,0,2020/1/1,3
4726,20624.61,740,4660,32,4,2,2020/1/1,3
4800,60803.65,3949,18498,103,18,6,2020/1/1,3
4884,5857.1,80,0,0,4,0,2020/1/1,3
5101,26623.3,1539,3648,23,14,4,2020/1/1,3
5102,4035.78,32,180,3,5,0,2020/1/1,3
5105,58703.27,1454,15682,73,13,8,2020/1/1,3
5110,2308.83,26,0,0,6,0,2020/1/1,3
5136,153.28,1,0,0,1,0,2020/1/1,3
5138,5004.14,82,0,0,6,0,2020/1/1,3
5235,7695.27,310,12,1,9,0,2020/1/1,3
5344,28820.21,1006,672,8,15,2,2020/1/1,3
5347,13628.89,163,656,5,10,2,2020/1/1,3
5348,2977.25,17,434,2,4,1,2020/1/1,3
5350,26007.64,1074,1590,37,13,5,2020/1/1,3
5351,2223.03,24,0,0,6,0,2020/1/1,3
4688,4812.85,195,0,0,2,0,2020/1/2,3
4691,12868.03,68,618,7,9,2,2020/1/2,3
4726,12722.79,533,492,12,3,1,2020/1/2,3
4800,69867.19,4378,25606,113,16,8,2020/1/2,3
5101,42761.52,2292,2958,40,13,5,2020/1/2,3
5102,1337.5,11,120,2,3,0,2020/1/2,3
5105,42585.69,1202,2916,39,7,5,2020/1/2,3
5110,1508.53,17,0,0,5,0,2020/1/2,3
5136,1625.47,9,0,0,3,0,2020/1/2,3
5138,6174.42,117,0,0,6,0,2020/1/2,3
5235,15202.91,496,900,10,5,3,2020/1/2,3
5344,26192.77,891,1092,13,15,2,2020/1/2,3
5347,11587.1,135,2248,2,8,1,2020/1/2,3
5350,24639.61,1045,1082,27,12,4,2020/1/2,3
5351,7748.69,119,324,6,6,1,2020/1/2,3
4688,3511.7,150,0,0,2,0,2020/1/3,3
4691,9658.33,46,542,6,6,2,2020/1/3,3
4726,5579.94,162,388,8,2,1,2020/1/3,3
4800,63684.33,3234,26714,104,20,5,2020/1/3,3
4884,1709.78,50,0,0,4,0,2020/1/3,3
5101,57187.14,3222,8872,103,13,7,2020/1/3,3
5102,1066.8,9,0,0,3,0,2020/1/3,3
5105,14177.31,469,290,8,4,2,2020/1/3,3
5110,1233.52,12,0,0,4,0,2020/1/3,3
5120,1397.59,3,0,0,4,0,2020/1/3,3
5136,3398.91,21,0,0,3,0,2020/1/3,3
5138,6174.42,117,60,2,6,0,2020/1/3,3
5235,22716.04,735,2460,18,9,3,2020/1/3,3
5344,24510.37,851,1170,12,12,2,2020/1/3,3
5347,9784.6,104,5028,2,8,1,2020/1/3,3
5350,22399.08,828,1466,19,11,3,2020/1/3,3
5351,9987.58,163,600,8,9,1,2020/1/3,3
4688,3093.65,142,0,0,2,0,2020/1/4,3
4691,5638.97,33,150,3,6,1,2020/1/4,3
4726,1768.33,85,0,0,1,0,2020/1/4,3
4800,54644.22,2591,7172,79,15,5,2020/1/4,3
4884,3796.21,146,0,0,4,0,2020/1/4,3
5101,51504.43,2925,28414,121,12,6,2020/1/4,3
5105,4883.92,240,0,0,3,0,2020/1/4,3
5110,591.07,6,0,0,1,0,2020/1/4,3
5120,3399.18,22,0,0,8,0,2020/1/4,3
5136,3398.91,21,0,0,3,0,2020/1/4,3
5138,2472.2,64,30,1,4,0,2020/1/4,3
5235,26674.57,857,3558,44,9,5,2020/1/4,3
5344,26053.78,977,306,8,15,2,2020/1/4,3
5347,8875.93,89,8916,2,9,1,2020/1/4,3
5350,18403.38,659,650,7,10,2,2020/1/4,3
5351,11872.55,184,630,6,13,1,2020/1/4,3
4688,4535.43,204,832,4,2,1,2020/1/5,3
4691,2034.68,27,312,4,2,0,2020/1/5,3
4726,3977.85,15,0,0,5,0,2020/1/5,3
4800,63862.38,2791,11158,106,18,8,2020/1/5,3
4884,11238.18,319,510,7,9,3,2020/1/5,3
5101,58966.62,3410,32192,134,13,7,2020/1/5,3
5105,3120.5,184,0,0,1,0,2020/1/5,3
5110,2044.07,11,42,1,4,1,2020/1/5,3
5120,5991.47,59,0,0,8,0,2020/1/5,3
5136,3398.91,21,0,0,3,0,2020/1/5,3
5138,1170.28,35,0,0,2,0,2020/1/5,3
5235,39144.67,1305,5982,74,11,6,2020/1/5,3
