channel_id,source_id,image_id,label_ids
6770,254303,19395.0,
6770,254304,19418.0,
6770,254305,19418.0,
6770,254306,19395.0,
6770,254307,19511.0,
6770,254308,19477.0,
6770,254309,19575.0,
6770,254310,18936.0,
6770,254311,19511.0,
6770,254312,19612.0,
6770,255937,19575.0,
6770,255938,19623.0,
6770,255939,19628.0,
6770,255940,19636.0,19
6770,255941,19620.0,
6770,257298,19661.0,
6770,257299,19667.0,
6770,257300,19636.0,19
6770,257301,19511.0,
6770,257302,19634.0,
6770,257783,19636.0,19
6770,257784,19511.0,
6770,257785,19623.0,
6770,257786,19395.0,
6770,257787,19726.0,
6770,257788,19673.0,
6770,257789,19438.0,
6770,257790,19739.0,
6770,257791,19703.0,
6770,257792,19660.0,
6770,260069,19418.0,
6770,260070,19636.0,19
6770,260071,19783.0,
6770,260072,19791.0,
6770,260073,19697.0,
6770,260074,19788.0,
6770,260075,19836.0,
6770,260076,19831.0,
6770,260077,19636.0,19
6770,260078,19824.0,
6770,260079,19840.0,
6770,260080,19636.0,19
6770,260081,19855.0,
6770,260082,19854.0,
6770,260083,19854.0,
6770,260084,19854.0,
6770,260085,19854.0,
6770,260086,19854.0,
6770,260087,19854.0,
6770,260088,19670.0,
6770,260194,19636.0,19
6770,260195,19636.0,19
6770,260196,19636.0,19
6770,260197,19636.0,19
6770,260198,19636.0,19
6770,260199,19636.0,19
6770,260200,19854.0,
6770,260201,19854.0,
6770,260202,19854.0,
6770,260203,19854.0,
6770,260204,19670.0,
6770,260227,,
6770,262301,19854.0,
6770,262302,19834.0,
6770,262303,19791.0,
6770,262304,19636.0,19
6770,262305,19854.0,
6770,262316,19854.0,
6770,262317,,
6770,262318,,
6770,262319,,
6770,262320,,
6770,262321,19854.0,
6770,262322,19854.0,
6770,262323,19834.0,
6770,262324,19636.0,19
6770,262325,19670.0,
6770,262326,19854.0,
6770,262327,19836.0,
6770,262328,19670.0,
6770,262329,19670.0,
6770,262330,19854.0,
6770,262904,19854.0,
6770,262905,19854.0,
6770,262906,19854.0,
6770,262907,19860.0,
6770,262908,19893.0,
6770,262909,19864.0,
6770,262910,19860.0,
6770,262911,19636.0,19
6770,262912,19894.0,
6770,262913,19896.0,
6770,264895,19667.0,
6770,264896,19854.0,
6770,264897,19948.0,
6770,264898,19953.0,
6770,264899,19910.0,
6770,266353,19854.0,
6770,266354,19854.0,
6770,266355,20022.0,
6770,266356,19910.0,
6770,266357,19971.0,
6770,266358,20117.0,
6770,266359,19910.0,
6770,266360,20048.0,
6770,266361,19859.0,
6770,266362,19670.0,
6770,272030,20002.0,
6770,272031,20174.0,
6770,272032,20120.0,
6770,272033,20186.0,
6770,272034,,
6770,275453,20350.0,
6770,275454,20350.0,
6770,275455,20350.0,
6770,275456,20368.0,
6770,275457,20356.0,
6770,278201,20445.0,
6770,278202,20446.0,
6770,278203,19443.0,
6770,278204,20451.0,
6770,278205,20454.0,
6770,280020,20518.0,
6770,280021,20518.0,
6770,280022,20552.0,
6770,280023,20497.0,
6770,280024,,
6770,280403,20518.0,
6770,280404,20518.0,
6770,280405,20518.0,
6770,280406,20544.0,
6770,280407,19836.0,
6770,281441,20446.0,
6770,281442,20518.0,
6770,281443,20518.0,
6770,281444,20518.0,
6770,281445,20518.0,
6770,289440,20891.0,
6770,289441,20929.0,
6770,289442,20967.0,
6770,289443,20979.0,
6770,289444,20985.0,
6770,289445,20989.0,
6770,289446,20991.0,
6770,289447,20992.0,
6770,289448,20891.0,
6770,289449,20979.0,
6770,291795,20998.0,
6770,291796,20998.0,
6770,291797,21002.0,
6770,291798,21007.0,
6770,291799,19836.0,
6770,291800,20985.0,
6770,291801,21063.0,
6770,291802,21007.0,
6770,291803,21021.0,
6770,291804,20567.0,
6770,297966,,
6770,301058,,
6770,301059,,
6770,301060,,
6770,301061,,
6770,301062,,
6770,301063,21185.0,-1
6770,301064,21174.0,-1
6770,301065,21186.0,
6770,301066,21214.0,
6770,301067,21186.0,
6770,304132,,
6770,304133,,
6770,304134,,
6770,304135,,
6770,304136,,
6770,316553,21578.0,27
6770,316554,22031.0,27
6770,316555,21624.0,
6770,316556,21663.0,19
6770,316557,20687.0,
6770,316947,21577.0,19
6770,316948,22166.0,"-1,22"
6770,316949,22168.0,"-1,20"
6770,316950,17089.0,-1
6770,316951,22202.0,
6770,317331,22142.0,"-1,19"
6770,317332,22142.0,"-1,19"
6770,317333,22201.0,19
6770,317334,22206.0,27
6770,317335,22207.0,"-1,27"
6770,318608,22271.0,"-1,27"
6770,318609,16276.0,
6770,318610,19673.0,
6770,318611,22207.0,"-1,27"
6770,318612,22261.0,22
6770,318986,22193.0,19
6770,318987,22003.0,19
6770,319238,22003.0,19
6770,319247,22003.0,19
6770,319248,22003.0,19
6770,319249,22003.0,19
6770,319250,22003.0,19
6770,319251,22003.0,19
6770,319252,22003.0,19
6770,319253,22003.0,19
6770,319254,22258.0,"-1,19"
6770,319255,22003.0,19
6770,319256,22258.0,"-1,19"
6770,319257,22003.0,19
6770,319258,22258.0,"-1,19"
6770,319718,22304.0,-1
6770,319719,22304.0,-1
6770,319720,22308.0,
6770,319721,22315.0,27
6770,319722,22316.0,"-1,19"
6770,319723,22316.0,"-1,19"
6770,319724,22308.0,
6770,319725,22303.0,19
6770,319726,22315.0,27
6770,319727,22303.0,19
6770,319728,22315.0,27
6770,319729,22303.0,19
6770,319730,22304.0,-1
6770,319731,22316.0,"-1,19"
6770,319732,22308.0,
6770,320149,22316.0,"-1,19"
6770,320150,22278.0,27
6770,320151,22278.0,27
6770,325137,22978.0,27
6770,325138,22003.0,19
6770,325139,23006.0,19
6770,325140,22860.0,19
6770,325141,23041.0,19
6770,325142,22800.0,19
6770,325143,22799.0,27
6770,325144,22582.0,19
6770,325145,22880.0,19
6770,325950,22582.0,19
6770,325951,22582.0,19
6770,325952,20999.0,
6770,325953,23099.0,67
6770,325954,23099.0,67
6770,325955,23051.0,67
6770,325956,20999.0,
6770,325957,23099.0,67
6770,325958,23099.0,67
6770,325959,23051.0,67
6770,325960,23067.0,19
6770,325961,23067.0,19
6770,327169,23067.0,19
6770,327170,20999.0,
6770,328162,20999.0,
6770,328163,23006.0,19
6770,328164,20999.0,
6770,328165,22582.0,19
6770,328166,22504.0,19
6770,330025,20999.0,
6770,330026,22582.0,19
6770,330027,22799.0,27
6770,330028,22362.0,22
6770,330029,23369.0,20
6770,330030,22362.0,22
6770,330031,23359.0,19
6770,330032,23369.0,20
6770,330391,22582.0,19
6770,330521,23006.0,19
6770,330522,23237.0,19
6770,330523,23067.0,19
6770,330524,22880.0,19
6770,330525,22362.0,22
6770,331673,22278.0,27
6770,331674,22206.0,27
6770,331675,22799.0,27
6770,331891,22362.0,22
6770,331892,22362.0,22
6770,331893,23237.0,19
6770,331894,23552.0,20
6770,331895,23528.0,19
6770,331896,23552.0,20
6770,331976,23565.0,20
6770,331977,23565.0,20
6770,331978,20567.0,
6770,331979,23518.0,19
6770,332614,23237.0,19
6770,332615,23528.0,19
6770,332616,19636.0,19
6770,332617,22582.0,19
6770,332618,23528.0,19
6770,332630,23237.0,19
6770,332631,23528.0,19
6770,332632,20567.0,
6770,332633,23237.0,19
6770,332634,19636.0,19
6770,332698,23528.0,19
6770,332699,23528.0,19
6770,332700,23528.0,19
6770,332701,23528.0,19
6770,332702,23528.0,19
6770,332703,23528.0,19
6770,332704,23528.0,19
6770,332912,22582.0,19
6770,332913,23006.0,19
6770,332914,23237.0,19
6770,332915,23528.0,19
6770,332916,23067.0,19
6770,332942,23528.0,19
6770,332953,22582.0,19
6770,332954,19636.0,19
6770,332955,23528.0,19
6770,332956,23528.0,19
6770,332957,22582.0,19
6770,332958,23403.0,22
6770,332959,23528.0,19
6770,332960,23617.0,20
6770,332961,23528.0,19
6770,332962,23617.0,20
6770,332963,23237.0,19
6770,332964,23237.0,19
6770,332965,22582.0,19
6770,332966,23403.0,22
6770,332967,22582.0,19
6770,332968,19636.0,19
6770,332969,23617.0,20
6770,332970,23617.0,20
6770,332971,23528.0,19
6770,332972,23528.0,19
6770,332973,23237.0,19
6770,332974,23237.0,19
6770,332975,22582.0,19
6770,332976,22582.0,19
6770,332977,23403.0,22
6770,332978,19636.0,19
6770,332979,23617.0,20
6770,332980,23617.0,20
6770,332981,23237.0,19
6770,332982,23237.0,19
6770,333036,23528.0,19
6770,333037,23528.0,19
6770,333038,23528.0,19
6770,333039,23006.0,19
6770,333040,22799.0,27
6770,333452,23006.0,19
6770,333453,22582.0,19
6770,333454,23067.0,19
6770,333455,19452.0,
6770,333456,23581.0,20
6770,333643,23067.0,19
6770,333644,23067.0,19
6770,333645,23656.0,19
6770,333646,23675.0,19
6770,333647,23237.0,19
6770,334015,23067.0,19
6770,334016,23675.0,19
6770,334017,22582.0,19
6770,334018,23690.0,19
6770,334019,23691.0,19
