ad_account_id_1,ad_amount_1,ad_create_role_num_1,ad_new_role_money_1,ad_pay_role_user_num_1,ad_source_num_1,ad_valid_source_num_1,model_run_datetime_1,data_win_1
4692,14529.04,534,300,8,5,1,2020/1/8,1
4726,2036.46,36,0,0,3,0,2020/1/8,1
4800,4710.09,178,2180,2,2,1,2020/1/8,1
4884,14747.22,334,2482,12,5,3,2020/1/8,1
5101,18055.37,630,454,8,7,4,2020/1/8,1
5105,8860.24,101,0,0,5,0,2020/1/8,1
5110,7925.09,49,84,4,7,1,2020/1/8,1
5138,16109.12,509,168,9,10,3,2020/1/8,1
5235,19841.02,555,1150,12,8,5,2020/1/8,1
5344,12473.6,589,0,0,11,0,2020/1/8,1
5345,6050.23,25,0,0,10,0,2020/1/8,1
5347,6297.09,51,0,0,16,0,2020/1/8,1
5348,1262.69,6,0,0,3,0,2020/1/8,1
5350,8891.62,264,90,1,6,1,2020/1/8,1
5351,18837.53,168,1780,14,14,4,2020/1/8,1
4688,156.33,1,0,0,1,0,2020/1/9,1
4691,21362.23,250,2940,10,5,2,2020/1/9,1
4692,25450.46,1135,3366,18,9,2,2020/1/9,1
4726,675.26,14,0,0,2,0,2020/1/9,1
4800,9567.96,289,30,1,6,1,2020/1/9,1
4884,17138.58,410,3576,21,5,3,2020/1/9,1
5101,14270.74,364,176,6,8,4,2020/1/9,1
5105,24776.85,438,526,4,10,2,2020/1/9,1
5110,11852.92,85,252,8,2,2,2020/1/9,1
5138,21581.11,470,478,10,16,3,2020/1/9,1
5235,9861.21,220,60,2,6,1,2020/1/9,1
5344,9870.19,422,12,1,10,0,2020/1/9,1
5345,7241.15,34,0,0,10,0,2020/1/9,1
5347,12872.99,150,0,0,18,0,2020/1/9,1
5348,3658.8,11,0,0,5,0,2020/1/9,1
5351,21578.63,224,1712,14,16,4,2020/1/9,1
5352,2905.71,25,0,0,4,0,2020/1/9,1
4691,20865.99,220,884,9,11,3,2020/1/10,1
4692,29932.31,1561,6536,24,10,4,2020/1/10,1
4800,17664.58,473,2178,7,10,1,2020/1/10,1
4884,20407.38,669,378,11,3,3,2020/1/10,1
5101,22129.8,590,654,14,9,5,2020/1/10,1
5105,26560.32,573,3498,15,13,3,2020/1/10,1
5110,12224.1,104,1716,10,2,1,2020/1/10,1
5138,15765.16,226,256,4,17,1,2020/1/10,1
5235,3847.63,107,0,0,3,0,2020/1/10,1
5344,21362.19,834,12,1,11,1,2020/1/10,1
5345,5481.73,50,30,1,2,1,2020/1/10,1
5347,16443.34,189,184,4,14,1,2020/1/10,1
5348,2396.11,5,0,0,4,0,2020/1/10,1
5349,3876.54,8,0,0,5,0,2020/1/10,1
5351,17076.82,179,1730,7,19,1,2020/1/10,1
5352,8412.92,47,0,0,10,0,2020/1/10,1
4688,137.03,9,0,0,1,0,2020/1/11,1
4691,21973.16,179,3172,8,9,3,2020/1/11,1
4692,30023.22,2082,6222,13,13,5,2020/1/11,1
4800,18366.28,469,940,14,13,2,2020/1/11,1
4884,17096.14,764,692,14,3,2,2020/1/11,1
5101,20976.71,529,1708,16,10,2,2020/1/11,1
5105,22202.46,485,504,10,10,4,2020/1/11,1
5110,13095.63,115,2628,10,1,1,2020/1/11,1
5138,12443.41,181,188,4,11,1,2020/1/11,1
5266,2004.46,59,0,0,5,0,2020/1/11,1
5344,23383.59,851,320,4,14,1,2020/1/11,1
5345,6266.88,47,60,2,2,1,2020/1/11,1
5347,13625.09,110,42,1,12,1,2020/1/11,1
5349,5989.88,14,60,2,7,1,2020/1/11,1
5350,3034.34,73,0,0,6,0,2020/1/11,1
5351,9950.6,85,1052,3,17,2,2020/1/11,1
5352,7797.24,48,0,0,8,0,2020/1/11,1
4688,137.03,9,0,0,1,0,2020/1/12,1
4691,14957.27,130,274,7,10,2,2020/1/12,1
4692,28804.35,1857,4428,18,13,4,2020/1/12,1
4800,17353.41,535,1672,10,11,2,2020/1/12,1
4884,10543.28,607,464,3,6,2,2020/1/12,1
5101,20335.77,711,770,9,10,4,2020/1/12,1
5105,16604.75,383,472,12,8,3,2020/1/12,1
