ad_account_id,ad_amount,ad_create_role_num,ad_new_role_money,ad_pay_role_user_num,ad_source_num,ad_valid_source_num,model_run_datetime,data_win
4691,4329.85,53.0,0.0,0.0,6,0,2020-01-07,1
4692,6244.93,180.0,0.0,0.0,5,0,2020-01-07,1
4726,6445.49,58.0,0.0,0.0,5,0,2020-01-07,1
4800,26832.69,1266.0,2166.0,18.0,10,6,2020-01-07,1
4884,19732.78,548.0,2882.0,24.0,5,3,2020-01-07,1
5101,45574.14,1986.0,3526.0,41.0,12,5,2020-01-07,1
5110,6118.34,42.0,680.0,8.0,6,1,2020-01-07,1
5120,1069.79,41.0,0.0,0.0,1,0,2020-01-07,1
5138,2651.38,144.0,0.0,0.0,3,0,2020-01-07,1
5235,30793.4,1059.0,3770.0,33.0,8,6,2020-01-07,1
5344,12297.89,476.0,280.0,5.0,7,2,2020-01-07,1
5345,822.53,7.0,0.0,0.0,4,0,2020-01-07,1
5347,4600.63,31.0,0.0,0.0,10,0,2020-01-07,1
5350,14648.77,430.0,1220.0,10.0,7,2,2020-01-07,1
5351,13872.91,196.0,288.0,3.0,14,2,2020-01-07,1
4688,156.33,1.0,0.0,0.0,1,0,2020-01-08,1
4691,18578.62,176.0,1420.0,7.0,6,1,2020-01-08,1
4692,14529.04,534.0,300.0,8.0,5,1,2020-01-08,1
4726,2036.46,36.0,0.0,0.0,3,0,2020-01-08,1
4800,4710.09,178.0,2180.0,2.0,2,1,2020-01-08,1
4884,14747.22,334.0,2482.0,12.0,5,3,2020-01-08,1
5101,18055.37,630.0,454.0,8.0,7,4,2020-01-08,1
5105,8860.24,101.0,0.0,0.0,5,0,2020-01-08,1
5110,7925.09,49.0,84.0,4.0,7,1,2020-01-08,1
5138,16109.12,509.0,168.0,9.0,10,3,2020-01-08,1
5235,19841.02,555.0,1150.0,12.0,8,5,2020-01-08,1
5344,12473.6,589.0,0.0,0.0,11,0,2020-01-08,1
5345,6050.23,25.0,0.0,0.0,10,0,2020-01-08,1
5347,6297.09,51.0,0.0,0.0,16,0,2020-01-08,1
5348,1262.69,6.0,0.0,0.0,3,0,2020-01-08,1
5350,8891.62,264.0,90.0,1.0,6,1,2020-01-08,1
5351,18837.53,168.0,1780.0,14.0,14,4,2020-01-08,1
4688,156.33,1.0,0.0,0.0,1,0,2020-01-09,1
4691,21362.23,250.0,2940.0,10.0,5,2,2020-01-09,1
4692,25450.46,1135.0,3366.0,18.0,9,2,2020-01-09,1
4726,675.26,14.0,0.0,0.0,2,0,2020-01-09,1
4800,9567.96,289.0,30.0,1.0,6,1,2020-01-09,1
4884,17138.58,410.0,3576.0,21.0,5,3,2020-01-09,1
5101,14270.74,364.0,176.0,6.0,8,4,2020-01-09,1
5105,24776.85,438.0,526.0,4.0,10,2,2020-01-09,1
5110,11852.92,85.0,252.0,8.0,2,2,2020-01-09,1
5138,21581.11,470.0,478.0,10.0,16,3,2020-01-09,1
5235,9861.21,220.0,60.0,2.0,6,1,2020-01-09,1
5344,9870.19,422.0,12.0,1.0,10,0,2020-01-09,1
5345,7241.15,34.0,0.0,0.0,10,0,2020-01-09,1
5347,12872.99,150.0,0.0,0.0,18,0,2020-01-09,1
5348,3658.8,11.0,0.0,0.0,5,0,2020-01-09,1
5351,21578.63,224.0,1712.0,14.0,16,4,2020-01-09,1
5352,2905.71,25.0,0.0,0.0,4,0,2020-01-09,1
4691,20865.99,220.0,884.0,9.0,11,3,2020-01-10,1
4692,29932.31,1561.0,6536.0,24.0,10,4,2020-01-10,1
4800,17664.58,473.0,2178.0,7.0,10,1,2020-01-10,1
4884,20407.38,669.0,378.0,11.0,3,3,2020-01-10,1
5101,22129.8,590.0,654.0,14.0,9,5,2020-01-10,1
5105,26560.32,573.0,3498.0,15.0,13,3,2020-01-10,1
5110,12224.1,104.0,1716.0,10.0,2,1,2020-01-10,1
5138,15765.16,226.0,256.0,4.0,17,1,2020-01-10,1
5235,3847.63,107.0,0.0,0.0,3,0,2020-01-10,1
5344,21362.19,834.0,12.0,1.0,11,1,2020-01-10,1
5345,5481.73,50.0,30.0,1.0,2,1,2020-01-10,1
5347,16443.34,189.0,184.0,4.0,14,1,2020-01-10,1
5348,2396.11,5.0,0.0,0.0,4,0,2020-01-10,1
5349,3876.54,8.0,0.0,0.0,5,0,2020-01-10,1
5351,17076.82,179.0,1730.0,7.0,19,1,2020-01-10,1
5352,8412.92,47.0,0.0,0.0,10,0,2020-01-10,1
4688,137.03,9.0,0.0,0.0,1,0,2020-01-11,1
4691,21973.16,179.0,3172.0,8.0,9,3,2020-01-11,1
4692,30023.22,2082.0,6222.0,13.0,13,5,2020-01-11,1
4800,18366.28,469.0,940.0,14.0,13,2,2020-01-11,1
4884,17096.14,764.0,692.0,14.0,3,2,2020-01-11,1
5101,20976.71,529.0,1708.0,16.0,10,2,2020-01-11,1
5105,22202.46,485.0,504.0,10.0,10,4,2020-01-11,1
5110,13095.63,115.0,2628.0,10.0,1,1,2020-01-11,1
5138,12443.41,181.0,188.0,4.0,11,1,2020-01-11,1
5266,2004.46,59.0,0.0,0.0,5,0,2020-01-11,1
5344,23383.59,851.0,320.0,4.0,14,1,2020-01-11,1
5345,6266.88,47.0,60.0,2.0,2,1,2020-01-11,1
5347,13625.09,110.0,42.0,1.0,12,1,2020-01-11,1
5349,5989.88,14.0,60.0,2.0,7,1,2020-01-11,1
5350,3034.34,73.0,0.0,0.0,6,0,2020-01-11,1
5351,9950.6,85.0,1052.0,3.0,17,2,2020-01-11,1
5352,7797.24,48.0,0.0,0.0,8,0,2020-01-11,1
4688,137.03,9.0,0.0,0.0,1,0,2020-01-12,1
4691,14957.27,130.0,274.0,7.0,10,2,2020-01-12,1
4692,28804.35,1857.0,4428.0,18.0,13,4,2020-01-12,1
4800,17353.41,535.0,1672.0,10.0,11,2,2020-01-12,1
4884,10543.28,607.0,464.0,3.0,6,2,2020-01-12,1
5101,20335.77,711.0,770.0,9.0,10,4,2020-01-12,1
5105,16604.75,383.0,472.0,12.0,8,3,2020-01-12,1
5110,14041.11,121.0,6336.0,12.0,4,1,2020-01-12,1
5138,5694.15,78.0,0.0,0.0,5,0,2020-01-12,1
5235,1654.06,45.0,0.0,0.0,2,0,2020-01-12,1
5266,5070.48,217.0,244.0,2.0,5,1,2020-01-12,1
5344,8804.3,262.0,60.0,1.0,12,0,2020-01-12,1
5345,4326.31,27.0,84.0,2.0,1,1,2020-01-12,1
5347,7444.75,56.0,264.0,1.0,8,0,2020-01-12,1
5349,2949.03,8.0,66.0,1.0,7,1,2020-01-12,1
5350,4186.01,111.0,0.0,0.0,6,0,2020-01-12,1
5351,10093.08,126.0,604.0,4.0,9,2,2020-01-12,1
5352,5081.26,60.0,84.0,2.0,7,1,2020-01-12,1
4691,12523.3,94.0,500.0,6.0,7,2,2020-01-13,1
4692,25907.44,997.0,5298.0,34.0,12,5,2020-01-13,1
4800,18565.35,578.0,788.0,12.0,8,3,2020-01-13,1
4884,22662.19,738.0,4860.0,21.0,5,3,2020-01-13,1
5101,28610.61,1174.0,1656.0,34.0,8,5,2020-01-13,1
5105,8752.77,217.0,914.0,11.0,7,3,2020-01-13,1
5110,11880.57,110.0,448.0,8.0,4,2,2020-01-13,1
5138,892.53,18.0,0.0,0.0,1,0,2020-01-13,1
5235,4649.11,126.0,108.0,4.0,2,0,2020-01-13,1
5266,6563.25,331.0,268.0,4.0,5,1,2020-01-13,1
5344,6396.69,182.0,182.0,3.0,5,1,2020-01-13,1
5345,5627.23,54.0,108.0,4.0,1,1,2020-01-13,1
5347,1808.79,26.0,0.0,0.0,4,0,2020-01-13,1
5349,835.69,2.0,0.0,0.0,2,0,2020-01-13,1
5350,2198.24,78.0,0.0,0.0,1,0,2020-01-13,1
5351,7853.11,110.0,4476.0,4.0,6,1,2020-01-13,1
5352,8572.57,82.0,584.0,8.0,3,1,2020-01-13,1
4691,8754.26,98.0,60.0,2.0,3,1,2020-01-14,1
4692,34283.74,1180.0,9364.0,48.0,13,5,2020-01-14,1
4800,11481.6,328.0,704.0,5.0,8,2,2020-01-14,1
4884,30328.1,1409.0,4176.0,26.0,5,5,2020-01-14,1
5101,25329.58,1063.0,3324.0,40.0,7,5,2020-01-14,1
5105,7134.88,182.0,2072.0,4.0,5,2,2020-01-14,1
5110,9496.86,87.0,232.0,3.0,4,1,2020-01-14,1
5235,4808.3,138.0,24.0,2.0,2,1,2020-01-14,1
5265,2884.19,272.0,42.0,1.0,2,1,2020-01-14,1
5266,6360.6,416.0,144.0,6.0,5,1,2020-01-14,1
5344,3784.03,87.0,268.0,6.0,3,1,2020-01-14,1
5345,9074.84,68.0,194.0,4.0,2,2,2020-01-14,1
5347,782.4,13.0,0.0,0.0,1,0,2020-01-14,1
5350,1046.57,40.0,0.0,0.0,1,0,2020-01-14,1
5351,7360.21,108.0,152.0,1.0,7,1,2020-01-14,1
5352,9645.19,101.0,204.0,8.0,3,2,2020-01-14,1
4691,9258.91,99.0,1166.0,5.0,9,1,2020-01-15,1
4692,69077.54,2754.0,10758.0,91.0,14,5,2020-01-15,1
4800,4953.75,243.0,576.0,2.0,5,1,2020-01-15,1
4884,22942.14,1627.0,2834.0,23.0,3,3,2020-01-15,1
5101,24766.74,995.0,1688.0,28.0,4,3,2020-01-15,1
5105,9061.02,260.0,60.0,2.0,6,1,2020-01-15,1
5110,9547.8,58.0,0.0,0.0,10,0,2020-01-15,1
5138,14436.78,120.0,212.0,3.0,9,2,2020-01-15,1
5235,1813.25,57.0,24.0,2.0,1,1,2020-01-15,1
5248,913.69,4.0,0.0,0.0,2,0,2020-01-15,1
5249,1647.99,5.0,0.0,0.0,2,0,2020-01-15,1
5250,2771.69,18.0,30.0,1.0,7,1,2020-01-15,1
5251,1787.4,7.0,0.0,0.0,6,0,2020-01-15,1
5264,4470.34,16.0,0.0,0.0,10,0,2020-01-15,1
5265,9041.46,1287.0,132.0,6.0,8,1,2020-01-15,1
