ad_account_id_x,game_id,channel_id,source_id,budget_mode,create_time,optimization_goal,time_series,bid_strategy,bid_amount,daily_budget,expand_enabled,expand_targeting,device_price,app_install_status,gender,game_consumption_level,age,custom_audience,excluded_custom_audience,network_type,deep_conversion_type,deep_conversion_behavior_spec,deep_conversion_worth_spec,intention_targeting_tags,interest_category_id_list,interest_keyword_list,behavior_category_id_list,behavior_intensity,behavior_keyword_list,behavior_scene,behavior_time_window,conversion_behavior_list,excluded_dimension,location_types,regions,image_id,deep_link_url,adcreative_template_id,page_spec,page_type,site_set,label,promoted_object_id,promoted_object_type,automatic_site_enabled,link_name_type,link_page_type,profile_id,link_page_spec,adcreative_elements,label_ids,ad_account_id_y,tdate,amount,new_role_money,roi,pay_rate,manager_id
9559,1001447,21207,1469959,0,2022-06-02 10:24:03,OPTIMIZATIONGOAL_APP_ACTIVATE,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111100000000001111111111111111111111111111111111111100000000001111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,BID_STRATEGY_AVERAGE_COST,26610,0,True,['age'],,,,,"[{'min': 20, 'max': 50}]",,[23469937],,DEEP_CONVERSION_WORTH,,"{'goal': 'GOAL_1DAY_PURCHASE_ROAS', 'expected_roi': 0.01}",,,,,,,,,['OPTIMIZATIONGOAL_APP_ACTIVATE'],EXCLUDED_DIMENSION_APP,,,45534,,720,,PAGE_TYPE_DEFAULT,,,1552323463,PROMOTED_OBJECT_TYPE_APP_IOS,True,,,,,"{'image': 145212, 'description': '智商149卡在了39关，这款游戏太烧脑，你能过几关？', 'video': 145212, 'button_text': '立即下载', 'brand': {'brand_name': 'N1计划', 'brand_img': 78613}}","277,301",9559,2022-06-02,445.02,42.0,0.094378,0.3333,13268
9559,1001447,21207,1472026,0,2022-06-03 10:46:05,OPTIMIZATIONGOAL_APP_ACTIVATE,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111100000000001111111111111111111111111111111111111100000000001111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,BID_STRATEGY_AVERAGE_COST,26032,0,True,['age'],,,['MALE'],,"[{'min': 20, 'max': 50}]",,[23469937],,DEEP_CONVERSION_WORTH,,"{'goal': 'GOAL_1DAY_PURCHASE_ROAS', 'expected_roi': 0.01}",,,,,,,,,,,,,42912,,721,,PAGE_TYPE_DEFAULT,"['SITE_SET_QQ_MUSIC_GAME', 'SITE_SET_KANDIAN', 'SITE_SET_TENCENT_NEWS', 'SITE_SET_TENCENT_VIDEO', 'SITE_SET_WECHAT']",,1552323463,PROMOTED_OBJECT_TYPE_APP_IOS,False,,,,,"{'image': 134337, 'description': '智商149卡在了39关，这款游戏太烧脑，你能过几关？', 'video': 134337, 'button_text': '立即下载', 'brand': {'brand_name': 'N1计划', 'brand_img': 78613}}","20,235",9559,2022-06-08,6241.74,214.0,0.034285,0.0256,13268
9556,1001447,21207,1472039,0,2022-06-03 10:46:32,OPTIMIZATIONGOAL_APP_ACTIVATE,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111100000000001111111111111111111111111111111111111100000000001111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,BID_STRATEGY_TARGET_COST,26765,0,True,['age'],,,,,"[{'min': 20, 'max': 50}]",,[23469937],,DEEP_CONVERSION_WORTH,,"{'goal': 'GOAL_1DAY_PURCHASE_ROAS', 'expected_roi': 0.01}",,,,,,,,,['OPTIMIZATIONGOAL_APP_DOWNLOAD'],EXCLUDED_DIMENSION_APP,,,45799,,720,,PAGE_TYPE_DEFAULT,,,1552323463,PROMOTED_OBJECT_TYPE_APP_IOS,True,,,,,"{'image': 145764, 'description': '智商149卡在了39关，这款游戏太烧脑，你能过几关？', 'video': 145764, 'button_text': '下载游戏', 'brand': {'brand_name': 'N1计划', 'brand_img': 78613}}","301,277",9556,2022-06-05,2625.24,12.0,0.004571,0.0455,13268
9560,1001447,21207,1473015,0,2022-06-04 11:05:03,OPTIMIZATIONGOAL_APP_ACTIVATE,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111100000000001111111111111111111111111111111111111100000000001111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,BID_STRATEGY_AVERAGE_COST,26850,0,True,['age'],,,,,"[{'min': 20, 'max': 50}]",,[23469937],,DEEP_CONVERSION_WORTH,,"{'goal': 'GOAL_1DAY_PURCHASE_ROAS', 'expected_roi': 0.01}",,,,,,,,,,,,,42912,,721,,PAGE_TYPE_DEFAULT,"['SITE_SET_QQ_MUSIC_GAME', 'SITE_SET_KANDIAN', 'SITE_SET_TENCENT_NEWS', 'SITE_SET_TENCENT_VIDEO', 'SITE_SET_WECHAT']",,1552323463,PROMOTED_OBJECT_TYPE_APP_IOS,False,,,,,"{'image': 134337, 'description': '智商149卡在了39关，这款游戏太烧脑，你能过几关？', 'video': 134337, 'button_text': '立即下载', 'brand': {'brand_name': 'N1计划', 'brand_img': 78613}}","20,235",9560,2022-06-05,1924.88,12.0,0.006234,0.0526,13268
9557,1001447,21207,1473012,0,2022-06-04 11:05:04,OPTIMIZATIONGOAL_APP_ACTIVATE,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111100000000001111111111111111111111111111111111111100000000001111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,BID_STRATEGY_TARGET_COST,26679,0,True,['age'],,,['MALE'],,"[{'min': 20, 'max': 50}]",,[23469937],,DEEP_CONVERSION_WORTH,,"{'goal': 'GOAL_1DAY_PURCHASE_ROAS', 'expected_roi': 0.01}",,,,,,,,,['OPTIMIZATIONGOAL_APP_ACTIVATE'],EXCLUDED_DIMENSION_APP,,,45799,,720,,PAGE_TYPE_DEFAULT,,,1552323463,PROMOTED_OBJECT_TYPE_APP_IOS,True,,,,,"{'image': 145764, 'description': '智商149卡在了39关，这款游戏太烧脑，你能过几关？', 'video': 145764, 'button_text': '下载游戏', 'brand': {'brand_name': 'N1计划', 'brand_img': 78613}}","301,277",9557,2022-06-09,2638.71,12.0,0.004548,0.0714,13268
6714,1001447,21213,1474630,0,2022-06-06 14:39:03,OPTIMIZATIONGOAL_FIRST_PURCHASE,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111110000111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,BID_STRATEGY_AVERAGE_COST,574885,0,False,[],,,,,"[{'min': 24, 'max': 66}]","[24280208, 24280205, 24280207, 24280206, 24280204]",[23469937],,,,,,,,,,,,,,,,,42241,,720,,PAGE_TYPE_DEFAULT,"['SITE_SET_QQ_MUSIC_GAME', 'SITE_SET_KANDIAN', 'SITE_SET_TENCENT_NEWS', 'SITE_SET_TENCENT_VIDEO', 'SITE_SET_MOBILE_UNION']",,1552323463,PROMOTED_OBJECT_TYPE_APP_IOS,False,,,,,"{'image': 131030, 'description': '智商149卡在了39关，这款游戏太烧脑，你能过几关？', 'video': 131030, 'button_text': '立即下载', 'brand': {'brand_name': 'N1计划', 'brand_img': 141595}}",20,6714,2022-06-06,5001.56,12.0,0.002399,0.0233,13333
8564,1001447,21340,1476333,0,2022-06-07 17:28:04,OPTIMIZATIONGOAL_APP_ACTIVATE,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,BID_STRATEGY_TARGET_COST,468347,0,True,"['age', 'gender']",,,['MALE'],,"[{'min': 24, 'max': 48}]","[24280208, 24280207, 24280205, 24280206, 24280204, 24076815, 24108417, 23992157, 24108416, 24131183, 24131184, 24060887, 24250869, 24250867, 24188273, 24025218, 24025215, 24025219, 24025216, 24188276]",[23469937],,DEEP_CONVERSION_WORTH,,"{'goal': 'GOAL_1DAY_PURCHASE_ROAS', 'expected_roi': 0.008}",,,,,,,,,['OPTIMIZATIONGOAL_APP_ACTIVATE'],EXCLUDED_DIMENSION_APP,,,43753,,720,,PAGE_TYPE_DEFAULT,,,1552323463,PROMOTED_OBJECT_TYPE_APP_IOS,True,,,,,"{'image': 138681, 'description': '智商149卡在了39关，这款游戏太烧脑，你能过几关？', 'video': 138681, 'button_text': '下载游戏', 'brand': {'brand_name': 'N1计划', 'brand_img': 77752}}","20,235",8564,2022-06-09,11838.22,482.0,0.040716,0.0769,13612
8562,1001446,21340,1476576,0,2022-06-07 17:50:32,OPTIMIZATIONGOAL_FIRST_PURCHASE,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,BID_STRATEGY_TARGET_COST,426648,0,True,"['age', 'gender']",,,['MALE'],,"[{'min': 24, 'max': 48}]","[24280208, 24280205, 24280207, 24280204, 24280206, 24076815, 24108417, 24108416, 23992157, 24131183, 24131184, 24250869, 24060887, 24250867]",[23469937],,,,,,,,,,,,,,,,,42241,,720,,PAGE_TYPE_DEFAULT,"['SITE_SET_QQ_MUSIC_GAME', 'SITE_SET_KANDIAN', 'SITE_SET_TENCENT_NEWS', 'SITE_SET_TENCENT_VIDEO', 'SITE_SET_MOBILE_UNION']",,1573087927,PROMOTED_OBJECT_TYPE_APP_IOS,False,,,,,"{'image': 131030, 'description': '智商149卡在了39关，这款游戏太烧脑，你能过几关？', 'video': 131030, 'button_text': '下载游戏', 'brand': {'brand_name': '幸存挑战', 'brand_img': 112395}}",20,8562,2022-06-07,6302.48,12.0,0.001904,0.05,13612
6715,1001447,21213,1485883,0,2022-06-13 14:26:05,OPTIMIZATIONGOAL_FIRST_PURCHASE,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111110000111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,BID_STRATEGY_AVERAGE_COST,499900,0,True,[],,,,,"[{'min': 14, 'max': 66}]","[23990642, 23995157, 23985416, 23995159, 23995162, 23995160, 23985414, 23995161, 23995158, 23985412, 24280208, 24280207, 24280205, 24280206, 24280204]",[23469937],,,,,,,,,,,,,,,,,42241,,720,,PAGE_TYPE_DEFAULT,"['SITE_SET_QQ_MUSIC_GAME', 'SITE_SET_KANDIAN', 'SITE_SET_TENCENT_NEWS', 'SITE_SET_TENCENT_VIDEO', 'SITE_SET_MOBILE_UNION']",,1552323463,PROMOTED_OBJECT_TYPE_APP_IOS,False,,,,,"{'image': 131030, 'description': '智商149卡在了39关，这款游戏太烧脑，你能过几关？', 'video': 131030, 'button_text': '立即下载', 'brand': {'brand_name': 'N1计划', 'brand_img': 141594}}",20,6715,2022-06-14,5953.68,78.0,0.013101,0.0233,13333
6715,1001447,21213,1485890,0,2022-06-13 14:26:32,OPTIMIZATIONGOAL_FIRST_PURCHASE,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111110000111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,BID_STRATEGY_AVERAGE_COST,574885,0,True,[],,,,,"[{'min': 14, 'max': 66}]","[23990642, 23995157, 23985416, 23995159, 23995162, 23995160, 23985414, 23995161, 23995158, 23985412, 24280208, 24280207, 24280205, 24280206, 24280204]",[23469937],,,,,,,,,,,,,,,,,46977,,720,,PAGE_TYPE_DEFAULT,"['SITE_SET_QQ_MUSIC_GAME', 'SITE_SET_KANDIAN', 'SITE_SET_TENCENT_NEWS', 'SITE_SET_TENCENT_VIDEO', 'SITE_SET_MOBILE_UNION']",,1552323463,PROMOTED_OBJECT_TYPE_APP_IOS,False,,,,,"{'image': 148002, 'description': '智商149卡在了39关，这款游戏太烧脑，你能过几关？', 'video': 148002, 'button_text': '立即下载', 'brand': {'brand_name': 'N1计划', 'brand_img': 141594}}",20,6715,2022-06-14,1246.75,30.0,0.024063,0.0625,13333
