image_id,image_name,image_run_date_amount,image_create_role_pay_num,image_create_role_num,image_create_role_pay_sum,image_source_num,image_create_role_pay_rate,image_create_role_cost,image_create_role_pay_cost,image_valid_source_num,image_valid_source_rate,image_pay_sum_ability,image_pay_num_ability,image_create_role_roi,image_create_role_retain_1d,model_run_datetime,data_win,score,image_launch_time,image_source_total_num,media_id,label_ids
18856,SSR533-横版（端游混剪）,2147.73,0.0,7.0,0.0,2,0.0,306.818571,inf,0.0,0.0,0.0,0.0,0.0,0.0,2020-01-06,3,402.0,2020-01-04,2,10,
18900,SSR546-横版（扒）,25958.28,10.0,614.0,460.0,10,0.0163,42.277329,2595.828,10.0,1.0,46.0,1.0,0.017721,0.1224,2020-01-06,3,630.0,2019-11-15,89,10,
19009,SSR566-竖版（3D）-750x1334—6-30S  7M内,2680.14,0.0,32.0,0.0,1,0.0,83.754375,inf,0.0,0.0,0.0,0.0,0.0,0.0909,2020-01-06,3,468.0,2019-12-05,8,10,
19072,SSR576-横版（真人),8967.57,4.0,757.0,478.0,2,0.0053,11.846196,2241.8925,2.0,1.0,239.0,2.0,0.053303,0.0599,2020-01-06,3,683.0,2019-12-10,15,10,
19099,SSR582-横版（混剪）,20368.15,7.0,611.0,430.0,8,0.0115,33.335761,2909.735714,1.0,0.125,430.0,7.0,0.021111,0.0966,2020-01-06,3,554.0,2019-12-11,73,10,
19208,SSR607-竖版（混剪）,102286.0,34.0,3656.0,2730.0,35,0.0093,27.977571,3008.411765,35.0,1.0,78.0,0.9714,0.02669,0.0906,2020-01-06,3,725.0,2019-12-17,278,10,
19248,SSR615-横版（3D）,16803.69,4.0,864.0,66.0,5,0.0046,19.448715,4200.9225,0.0,0.0,0.0,0.0,0.003928,0.0742,2020-01-06,3,516.0,2019-12-20,16,10,
19343,SSR628-竖版（混剪）,10573.45,6.0,400.0,150.0,2,0.015,26.433625,1762.241667,2.0,1.0,75.0,3.0,0.014186,0.0933,2020-01-06,3,532.0,2019-12-31,3,10,
19360,SSR634-横版（3D）,17179.62,5.0,699.0,756.0,4,0.0072,24.577425,3435.924,2.0,0.5,378.0,2.5,0.044006,0.0655,2020-01-06,3,697.0,2019-12-24,91,10,
19388,SSR641-横版(3D),1249.64,0.0,7.0,0.0,1,0.0,178.52,inf,0.0,0.0,0.0,0.0,0.0,0.1429,2020-01-06,3,459.0,2020-01-04,4,10,
19395,SSR646-横版（混剪）,21405.69,9.0,928.0,986.0,6,0.0097,23.066476,2378.41,5.0,0.8333,197.2,1.8,0.046063,0.0731,2020-01-06,3,713.0,2019-12-28,19,10,
19418,SSR656-横版（混剪）,7638.1,0.0,140.0,0.0,9,0.0,54.557857,inf,0.0,0.0,0.0,0.0,0.0,0.1143,2020-01-06,3,490.0,2019-12-21,58,10,
