image_id_7,label_ids_7,im_amount_7,im_create_role_num_7,im_new_role_money_7,im_pay_role_user_num_7,im_source_num_7,im_valid_source_num_7,model_run_datetime_7,data_win_7
15018,,16329.05,589.0,9012.0,21.0,12,1,2020-01-01,7
15205,,675.41,2.0,0.0,0.0,1,0,2020-01-01,7
16276,,8716.37,196.0,360.0,7.0,10,1,2020-01-01,7
16316,,13790.1,264.0,120.0,2.0,10,0,2020-01-01,7
16605,,724.92,2.0,0.0,0.0,1,0,2020-01-01,7
17089,-1,15468.94,514.0,2368.0,44.0,5,3,2020-01-01,7
17417,,3833.4,53.0,0.0,0.0,3,0,2020-01-01,7
17434,,22903.33,426.0,4808.0,62.0,7,1,2020-01-01,7
17436,,741.76,16.0,0.0,0.0,1,0,2020-01-01,7
17473,,3621.92,80.0,0.0,0.0,3,0,2020-01-01,7
17605,,10644.02,405.0,3404.0,27.0,3,1,2020-01-01,7
17673,,12157.37,387.0,5144.0,10.0,4,3,2020-01-01,7
17817,,23321.59,580.0,7658.0,41.0,15,4,2020-01-01,7
18072,,40657.95,2485.0,6272.0,56.0,13,3,2020-01-01,7
18125,,879.1,2.0,0.0,0.0,1,0,2020-01-01,7
18166,,6275.78,181.0,588.0,6.0,4,0,2020-01-01,7
18435,,2782.48,218.0,156.0,4.0,1,0,2020-01-01,7
18563,,6567.44,112.0,72.0,3.0,3,1,2020-01-01,7
18783,,4566.71,152.0,240.0,8.0,2,1,2020-01-01,7
18835,,9170.11,234.0,7308.0,14.0,3,1,2020-01-01,7
18900,,3772.01,57.0,264.0,5.0,6,0,2020-01-01,7
18936,,63129.63,1816.0,24034.0,163.0,16,5,2020-01-01,7
19072,,3568.55,42.0,36.0,3.0,3,1,2020-01-01,7
19099,,15560.47,426.0,264.0,12.0,3,1,2020-01-01,7
19134,,1371.87,3.0,0.0,0.0,1,0,2020-01-01,7
19139,,1455.8,8.0,0.0,0.0,1,0,2020-01-01,7
19165,,2349.6,12.0,48.0,4.0,1,0,2020-01-01,7
19208,,35018.1,1057.0,6372.0,30.0,24,3,2020-01-01,7
19218,,10198.82,480.0,10448.0,40.0,5,1,2020-01-01,7
19248,,9707.35,95.0,1376.0,4.0,7,1,2020-01-01,7
19261,,5478.02,63.0,306.0,3.0,4,1,2020-01-01,7
19329,,2985.96,10.0,440.0,4.0,1,1,2020-01-01,7
19339,,5134.47,88.0,0.0,0.0,3,0,2020-01-01,7
19340,,18707.74,2643.0,9960.0,48.0,3,1,2020-01-01,7
19343,,310.76,4.0,0.0,0.0,1,0,2020-01-01,7
19359,,3176.6,16.0,4636.0,4.0,2,1,2020-01-01,7
19360,,69009.39,3123.0,9578.0,76.0,21,7,2020-01-01,7
19363,,284.99,0.0,0.0,0.0,1,0,2020-01-01,7
19370,,4301.92,208.0,512.0,2.0,1,0,2020-01-01,7
19392,,3934.17,37.0,480.0,4.0,2,1,2020-01-01,7
19393,,4959.0,46.0,48.0,4.0,1,1,2020-01-01,7
19395,,11124.67,329.0,714.0,8.0,5,1,2020-01-01,7
19399,,306.33,1.0,0.0,0.0,1,0,2020-01-01,7
19409,,7337.9,279.0,534.0,10.0,2,1,2020-01-01,7
19414,,1864.48,50.0,294.0,3.0,1,1,2020-01-01,7
19418,,12086.73,66.0,33880.0,15.0,2,1,2020-01-01,7
19420,,1864.01,14.0,0.0,0.0,1,0,2020-01-01,7
19422,,2129.28,19.0,0.0,0.0,2,0,2020-01-01,7
19426,,1475.6,2.0,0.0,0.0,2,0,2020-01-01,7
19428,,1074.67,2.0,0.0,0.0,1,0,2020-01-01,7
19430,,11247.09,198.0,860.0,4.0,5,2,2020-01-01,7
19431,,1650.24,5.0,60.0,2.0,1,1,2020-01-01,7
19438,,4242.59,88.0,12.0,1.0,3,0,2020-01-01,7
15018,,15881.94,588.0,9332.0,21.0,11,1,2020-01-02,7
16276,,8740.25,206.0,812.0,7.0,10,1,2020-01-02,7
16316,,13790.1,264.0,120.0,2.0,10,0,2020-01-02,7
17089,-1,14557.85,503.0,2872.0,47.0,5,3,2020-01-02,7
17417,,6785.16,98.0,324.0,6.0,3,1,2020-01-02,7
17434,,19091.27,442.0,4620.0,57.0,2,1,2020-01-02,7
17436,,741.76,16.0,0.0,0.0,1,0,2020-01-02,7
17473,,1461.08,30.0,0.0,0.0,2,0,2020-01-02,7
17605,,10644.02,405.0,3452.0,27.0,3,1,2020-01-02,7
17673,,13494.6,413.0,5524.0,14.0,4,3,2020-01-02,7
17817,,19597.14,476.0,6264.0,38.0,13,4,2020-01-02,7
18072,,37688.73,2351.0,5930.0,58.0,10,4,2020-01-02,7
18166,,4749.89,147.0,576.0,5.0,3,0,2020-01-02,7
18435,,2782.48,218.0,216.0,4.0,1,0,2020-01-02,7
18563,,3255.0,67.0,60.0,2.0,1,1,2020-01-02,7
18783,,2907.72,137.0,216.0,6.0,2,1,2020-01-02,7
18835,,9991.98,259.0,8352.0,16.0,3,1,2020-01-02,7
18900,,4501.49,85.0,180.0,3.0,6,0,2020-01-02,7
18936,,55744.18,1625.0,23914.0,146.0,13,5,2020-01-02,7
19072,,3568.55,42.0,144.0,3.0,3,1,2020-01-02,7
19099,,18101.05,619.0,282.0,16.0,3,1,2020-01-02,7
19134,,1371.87,3.0,0.0,0.0,1,0,2020-01-02,7
19139,,1455.8,8.0,0.0,0.0,1,0,2020-01-02,7
19165,,2223.61,11.0,36.0,3.0,1,0,2020-01-02,7
19208,,72522.96,2455.0,16260.0,85.0,24,8,2020-01-02,7
19218,,9092.15,431.0,8256.0,32.0,5,1,2020-01-02,7
19248,,14900.78,235.0,2500.0,8.0,7,2,2020-01-02,7
19261,,5186.93,59.0,306.0,3.0,4,1,2020-01-02,7
19329,,2985.96,10.0,440.0,4.0,1,1,2020-01-02,7
19339,,5134.47,88.0,0.0,0.0,3,0,2020-01-02,7
19340,,19752.26,2973.0,17080.0,65.0,1,1,2020-01-02,7
19343,,1345.34,37.0,0.0,0.0,1,0,2020-01-02,7
19359,,3176.6,16.0,5388.0,4.0,2,1,2020-01-02,7
19360,,66275.79,3057.0,9806.0,76.0,19,7,2020-01-02,7
19363,,284.99,0.0,0.0,0.0,1,0,2020-01-02,7
19370,,4301.92,208.0,512.0,2.0,1,0,2020-01-02,7
19392,,3934.17,37.0,480.0,4.0,2,1,2020-01-02,7
19393,,4959.0,46.0,48.0,4.0,1,1,2020-01-02,7
19395,,15312.67,610.0,2286.0,24.0,5,2,2020-01-02,7
